image_id,document_id,person_id,split,doc_type,forgery_category,control_index,label,quality_tier,template_variant,naming_stratum,pan_fifth_source,forgery_field,forgery_detail,c1_op,c1_field,rule_gt_verdict,rule_ocr_verdict,expected_rule,width,height,jpeg_q_capture,phash,file
P000000_aadhaar_C00_clean,P000000_aadhaar_C00,P000000,train,aadhaar,C0,0,0,clean,2,surname_last,surname,,,,,PASS,PASS,PASS,975,615,92,11460368396144636559,images/train/aadhaar/P000000_aadhaar_C00_clean.jpg
P000000_aadhaar_C00_mild,P000000_aadhaar_C00,P000000,train,aadhaar,C0,0,0,mild,2,surname_last,surname,,,,,PASS,PASS,PASS,860,542,78,11460368396144636559,images/train/aadhaar/P000000_aadhaar_C00_mild.jpg
P000000_aadhaar_C00_severe,P000000_aadhaar_C00,P000000,train,aadhaar,C0,0,0,severe,2,surname_last,surname,,,,,PASS,PASS,PASS,532,335,53,16099084756856250511,images/train/aadhaar/P000000_aadhaar_C00_severe.jpg
P000000_aadhaar_C01_clean,P000000_aadhaar_C01,P000000,train,aadhaar,C0,1,0,clean,2,surname_last,surname,,,,,PASS,PASS,PASS,985,621,91,11460359600051614607,images/train/aadhaar/P000000_aadhaar_C01_clean.jpg
P000000_aadhaar_C01_mild,P000000_aadhaar_C01,P000000,train,aadhaar,C0,1,0,mild,2,surname_last,surname,,,,,PASS,PASS,PASS,798,503,75,11478374032887280271,images/train/aadhaar/P000000_aadhaar_C01_mild.jpg
P000000_aadhaar_C01_severe,P000000_aadhaar_C01,P000000,train,aadhaar,C0,1,0,severe,2,surname_last,surname,,,,,PASS,PASS,PASS,516,325,46,13216772233605849263,images/train/aadhaar/P000000_aadhaar_C01_severe.jpg
P000000_aadhaar_C1_clean,P000000_aadhaar_C1,P000000,train,aadhaar,C1,,1,clean,2,surname_last,surname,,,field_displacement,aadhaar_number,PASS,PASS,PASS,980,618,92,11460359600051745423,images/train/aadhaar/P000000_aadhaar_C1_clean.jpg
P000000_aadhaar_C1_mild,P000000_aadhaar_C1,P000000,train,aadhaar,C1,,1,mild,2,surname_last,surname,,,field_displacement,aadhaar_number,PASS,PASS,PASS,865,545,76,11469366833632539279,images/train/aadhaar/P000000_aadhaar_C1_mild.jpg
P000000_aadhaar_C1_severe,P000000_aadhaar_C1,P000000,train,aadhaar,C1,,1,severe,2,surname_last,surname,,,field_displacement,aadhaar_number,PASS,FAIL,PASS,599,378,61,15788318876315439759,images/train/aadhaar/P000000_aadhaar_C1_severe.jpg
P000000_aadhaar_C2_clean,P000000_aadhaar_C2,P000000,train,aadhaar,C2,,1,clean,2,surname_last,surname,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,943,595,95,11460359634411352719,images/train/aadhaar/P000000_aadhaar_C2_clean.jpg
